locusId	sysName	desc	comb	set1IT002	set1IT003	set1IT004
EKN05_005170	EKN05_005170	two-component system response regulator BaeR	EKN05_005170 two-component system response regulator BaeR	1822	1672	1828
EKN05_005175	EKN05_005175	two-component system sensor histidine kinase BaeS	EKN05_005175 two-component system sensor histidine kinase BaeS	338	198	68
EKN05_005180	EKN05_005180	MFS transporter	EKN05_005180 MFS transporter	51	16	52
EKN05_005185	EKN05_005185	multidrug efflux RND transporter permease subunit MdtC	EKN05_005185 multidrug efflux RND transporter permease subunit MdtC	728	420	243
EKN05_005190	EKN05_005190	multidrug efflux RND transporter permease subunit MdtB	EKN05_005190 multidrug efflux RND transporter permease subunit MdtB	2910	2313	1555
EKN05_005215	EKN05_005215	molecular chaperone	EKN05_005215 molecular chaperone	1611	762	470
EKN05_005225	EKN05_005225	helix-hairpin-helix domain-containing protein	EKN05_005225 helix-hairpin-helix domain-containing protein	1038	909	578
EKN05_005265	EKN05_005265	TerC family protein	EKN05_005265 TerC family protein	554	474	662
EKN05_005270	EKN05_005270	polysaccharide export protein	EKN05_005270 polysaccharide export protein	69	91	19
EKN05_005280	EKN05_005280	tyrosine-protein kinase Wzc	EKN05_005280 tyrosine-protein kinase Wzc	1385	783	378
EKN05_005285	EKN05_005285	colanic acid biosynthesis glycosyltransferase WcaA	EKN05_005285 colanic acid biosynthesis glycosyltransferase WcaA	324	219	297
EKN05_005290	EKN05_005290	colanic acid biosynthesis acetyltransferase WcaB	EKN05_005290 colanic acid biosynthesis acetyltransferase WcaB	36	67	130
EKN05_005295	EKN05_005295	colanic acid biosynthesis glycosyltransferase WcaC	EKN05_005295 colanic acid biosynthesis glycosyltransferase WcaC	347	162	11
EKN05_005300	EKN05_005300	putative colanic acid polymerase WcaD	EKN05_005300 putative colanic acid polymerase WcaD	130	322	141
EKN05_005305	EKN05_005305	colanic acid biosynthesis glycosyltransferase WcaE	EKN05_005305 colanic acid biosynthesis glycosyltransferase WcaE	164	81	93
EKN05_005315	EKN05_005315	colanic acid biosynthesis glycosyl transferase	EKN05_005315 colanic acid biosynthesis glycosyl transferase	2038	1692	828
EKN05_005320	EKN05_005320	colanic acid biosynthesis acetyltransferase WcaF	EKN05_005320 colanic acid biosynthesis acetyltransferase WcaF	211	130	59
EKN05_005325	EKN05_005325	GDP-mannose 4,6-dehydratase	EKN05_005325 GDP-mannose 4,6-dehydratase	292	361	97
EKN05_005330	EKN05_005330	GDP-L-fucose synthase	EKN05_005330 GDP-L-fucose synthase	3	267	252
EKN05_005340	EKN05_005340	colanic acid biosynthesis glycosyltransferase WcaI	EKN05_005340 colanic acid biosynthesis glycosyltransferase WcaI	75	107	111
EKN05_005345	EKN05_005345	mannose-1-phosphate guanyltransferase	EKN05_005345 mannose-1-phosphate guanyltransferase	273	317	283
EKN05_005350	EKN05_005350	phosphomannomutase CpsG	EKN05_005350 phosphomannomutase CpsG	651	407	393
EKN05_005355	EKN05_005355	undecaprenyl-phosphate glucose phosphotransferase	EKN05_005355 undecaprenyl-phosphate glucose phosphotransferase	224	390	248
EKN05_005360	EKN05_005360	M-antigen undecaprenyl disphosphate flippase	EKN05_005360 M-antigen undecaprenyl disphosphate flippase	5149	4622	2211
EKN05_005365	EKN05_005365	colanic acid biosynthesis pyruvyl transferase WcaK	EKN05_005365 colanic acid biosynthesis pyruvyl transferase WcaK	133	16	313
EKN05_005370	EKN05_005370	colanic acid biosynthesis glycosyltransferase WcaL	EKN05_005370 colanic acid biosynthesis glycosyltransferase WcaL	1083	638	1310
EKN05_005375	EKN05_005375	colanic acid biosynthesis protein WcaM	EKN05_005375 colanic acid biosynthesis protein WcaM	108	105	40
EKN05_005380	EKN05_005380	UTP--glucose-1-phosphate uridylyltransferase GalF	EKN05_005380 UTP--glucose-1-phosphate uridylyltransferase GalF	236	109	45
EKN05_005385	EKN05_005385	dTDP-glucose 4,6-dehydratase	EKN05_005385 dTDP-glucose 4,6-dehydratase	201	104	15
EKN05_005445	EKN05_005445	hypothetical protein	EKN05_005445 hypothetical protein	2387	1745	871
EKN05_005450	EKN05_005450	NADP-dependent phosphogluconate dehydrogenase	EKN05_005450 NADP-dependent phosphogluconate dehydrogenase	255	325	858
EKN05_005455	EKN05_005455	UDP-glucose 6-dehydrogenase	EKN05_005455 UDP-glucose 6-dehydrogenase	96	207	289
EKN05_005460	EKN05_005460	LPS O-antigen chain length determinant protein WzzB	EKN05_005460 LPS O-antigen chain length determinant protein WzzB	450	255	130
EKN05_005475	EKN05_005475	1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase	EKN05_005475 1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase	1683	1792	523
EKN05_005480	EKN05_005480	imidazole glycerol phosphate synthase subunit HisH	EKN05_005480 imidazole glycerol phosphate synthase subunit HisH	24	63	3
EKN05_005485	EKN05_005485	bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB	EKN05_005485 bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB	616	787	80
EKN05_005490	EKN05_005490	histidinol-phosphate transaminase	EKN05_005490 histidinol-phosphate transaminase	264	352	184
EKN05_005500	EKN05_005500	ATP phosphoribosyltransferase	EKN05_005500 ATP phosphoribosyltransferase	61	109	277
EKN05_005530	EKN05_005530	SDR family oxidoreductase	EKN05_005530 SDR family oxidoreductase	2712	2305	1127
EKN05_005535	EKN05_005535	LysR family transcriptional regulator	EKN05_005535 LysR family transcriptional regulator	235	329	329
EKN05_005545	EKN05_005545	putrescine/proton symporter PlaP	EKN05_005545 putrescine/proton symporter PlaP	2866	3538	2001
EKN05_005550	EKN05_005550	YeeE/YedE family protein	EKN05_005550 YeeE/YedE family protein	410	736	1072
EKN05_005555	EKN05_005555	hypothetical protein	EKN05_005555 hypothetical protein	79	13	0
EKN05_005560	EKN05_005560	exodeoxyribonuclease I	EKN05_005560 exodeoxyribonuclease I	2802	3276	1518
EKN05_005565	EKN05_005565	DUF4102 domain-containing protein	EKN05_005565 DUF4102 domain-containing protein	255	41	412
EKN05_005580	EKN05_005580	hypothetical protein	EKN05_005580 hypothetical protein	217	137	59
EKN05_005595	EKN05_005595	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase	EKN05_005595 bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase	1	25	0
EKN05_005600	EKN05_005600	adenosylcobinamide-GDP ribazoletransferase	EKN05_005600 adenosylcobinamide-GDP ribazoletransferase	166	260	429
EKN05_005605	EKN05_005605	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	EKN05_005605 nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	715	922	719
EKN05_005610	EKN05_005610	L,D-transpeptidase	EKN05_005610 L,D-transpeptidase	329	706	454
EKN05_005620	EKN05_005620	nitrogen assimilation transcriptional regulator	EKN05_005620 nitrogen assimilation transcriptional regulator	2352	1050	755
EKN05_005625	EKN05_005625	HTH-type transcriptional regulator Cbl	EKN05_005625 HTH-type transcriptional regulator Cbl	633	336	180
EKN05_005635	EKN05_005635	toxic metabolite efflux MATE transporter YeeO	EKN05_005635 toxic metabolite efflux MATE transporter YeeO	1629	2507	1191
EKN05_005640	EKN05_005640	tRNA-Asn	EKN05_005640 tRNA-Asn	80	57	25
EKN05_005650	EKN05_005650	AMP nucleosidase	EKN05_005650 AMP nucleosidase	1257	1306	859
EKN05_005655	EKN05_005655	hypothetical protein	EKN05_005655 hypothetical protein	197	131	211
EKN05_005665	EKN05_005665	serine transporter	EKN05_005665 serine transporter	411	264	307
EKN05_005675	EKN05_005675	DUF4102 domain-containing protein	EKN05_005675 DUF4102 domain-containing protein	5760	4244	2009
EKN05_005695	EKN05_005695	integrase	EKN05_005695 integrase	3129	3595	1278
EKN05_005700	EKN05_005700	DUF4224 domain-containing protein	EKN05_005700 DUF4224 domain-containing protein	219	196	622
EKN05_005710	EKN05_005710	3'-5' exoribonuclease	EKN05_005710 3'-5' exoribonuclease	437	171	848
EKN05_005720	EKN05_005720	hypothetical protein	EKN05_005720 hypothetical protein	127	132	13
EKN05_005725	EKN05_005725	hypothetical protein	EKN05_005725 hypothetical protein	1554	1343	707
EKN05_005730	EKN05_005730	hypothetical protein	EKN05_005730 hypothetical protein	65	64	71
EKN05_005755	EKN05_005755	RusA family crossover junction endodeoxyribonuclease	EKN05_005755 RusA family crossover junction endodeoxyribonuclease	3	107	50
EKN05_005760	EKN05_005760	antiterminator	EKN05_005760 antiterminator	2234	2315	1531
EKN05_005840	EKN05_005840	metal-binding protein ZinT	EKN05_005840 metal-binding protein ZinT	1	34	225
EKN05_005845	EKN05_005845	protein-methionine-sulfoxide reductase heme-binding subunit MsrQ	EKN05_005845 protein-methionine-sulfoxide reductase heme-binding subunit MsrQ	746	531	343
EKN05_005850	EKN05_005850	protein-methionine-sulfoxide reductase catalytic subunit MsrP	EKN05_005850 protein-methionine-sulfoxide reductase catalytic subunit MsrP	366	278	103
EKN05_005860	EKN05_005860	DNA-binding response regulator HprR	EKN05_005860 DNA-binding response regulator HprR	77	19	22
EKN05_005870	EKN05_005870	protein deglycase HchA	EKN05_005870 protein deglycase HchA	2013	1086	1056
EKN05_005880	EKN05_005880	hypothetical protein	EKN05_005880 hypothetical protein	441	336	261
EKN05_005890	EKN05_005890	hypothetical protein	EKN05_005890 hypothetical protein	1292	1073	1222
EKN05_005900	EKN05_005900	hypothetical protein	EKN05_005900 hypothetical protein	1446	1939	1573
EKN05_005905	EKN05_005905	phosphohydrolase	EKN05_005905 phosphohydrolase	89	98	0
EKN05_005910	EKN05_005910	DNA cytosine methyltransferase	EKN05_005910 DNA cytosine methyltransferase	264	154	474
EKN05_005915	EKN05_005915	very short patch repair endonuclease	EKN05_005915 very short patch repair endonuclease	76	33	19
EKN05_005920	EKN05_005920	drug/metabolite exporter YedA	EKN05_005920 drug/metabolite exporter YedA	2052	2706	1608
EKN05_005925	EKN05_005925	DUF808 domain-containing protein	EKN05_005925 DUF808 domain-containing protein	80	46	61
EKN05_005935	EKN05_005935	cellulose biosynthesis regulator YedQ	EKN05_005935 cellulose biosynthesis regulator YedQ	3511	2759	1838
EKN05_005940	EKN05_005940	mannosyl-3-phosphoglycerate phosphatase-related protein	EKN05_005940 mannosyl-3-phosphoglycerate phosphatase-related protein	1061	813	93
EKN05_005950	EKN05_005950	hypothetical protein	EKN05_005950 hypothetical protein	287	43	153
EKN05_005960	EKN05_005960	transcriptional regulator RcsA	EKN05_005960 transcriptional regulator RcsA	271	215	71
EKN05_005990	EKN05_005990	flagellar motor switch protein FliM	EKN05_005990 flagellar motor switch protein FliM	351	467	487
EKN05_006120	EKN05_006120	FliC/FljB family flagellin	EKN05_006120 FliC/FljB family flagellin	1037	999	1543
EKN05_006125	EKN05_006125	RNA polymerase sigma factor FliA	EKN05_006125 RNA polymerase sigma factor FliA	4846	4545	2038
EKN05_006130	EKN05_006130	flagella biosynthesis regulatory protein FliZ	EKN05_006130 flagella biosynthesis regulatory protein FliZ	255	122	456
EKN05_006135	EKN05_006135	cystine ABC transporter substrate-binding protein	EKN05_006135 cystine ABC transporter substrate-binding protein	350	594	270
EKN05_006140	EKN05_006140	D-cysteine desulfhydrase	EKN05_006140 D-cysteine desulfhydrase	133	145	80
EKN05_006145	EKN05_006145	amino acid ABC transporter permease	EKN05_006145 amino acid ABC transporter permease	7985	7093	3665
EKN05_006150	EKN05_006150	L-cystine ABC transporter ATP-binding protein YecC	EKN05_006150 L-cystine ABC transporter ATP-binding protein YecC	231	140	32
EKN05_006155	EKN05_006155	transcriptional regulator SdiA	EKN05_006155 transcriptional regulator SdiA	6536	4605	1561
EKN05_006165	EKN05_006165	hypothetical protein	EKN05_006165 hypothetical protein	62	135	369
EKN05_006170	EKN05_006170	two-component system response regulator UvrY	EKN05_006170 two-component system response regulator UvrY	363	233	69
EKN05_006175	EKN05_006175	excinuclease ABC subunit UvrC	EKN05_006175 excinuclease ABC subunit UvrC	577	655	677
EKN05_006200	EKN05_006200	UPF0149 family protein YecA	EKN05_006200 UPF0149 family protein YecA	36	42	21
EKN05_006205	EKN05_006205	tyrosine transporter TyrP	EKN05_006205 tyrosine transporter TyrP	0	19	39
EKN05_006230	EKN05_006230	DUF2766 domain-containing protein	EKN05_006230 DUF2766 domain-containing protein	103	45	0
EKN05_006240	EKN05_006240	arabinose ABC transporter substrate-binding protein	EKN05_006240 arabinose ABC transporter substrate-binding protein	2548	2257	917
EKN05_006245	EKN05_006245	L-arabinose ABC transporter ATP-binding protein AraG	EKN05_006245 L-arabinose ABC transporter ATP-binding protein AraG	414	566	787
EKN05_006250	EKN05_006250	arabinose ABC transporter permease	EKN05_006250 arabinose ABC transporter permease	226	188	69
EKN05_006255	EKN05_006255	trehalose-phosphatase	EKN05_006255 trehalose-phosphatase	561	236	197
EKN05_006260	EKN05_006260	alpha,alpha-trehalose-phosphate synthase	EKN05_006260 alpha,alpha-trehalose-phosphate synthase	703	586	1126
EKN05_006280	EKN05_006280	flagellar motor stator protein MotA	EKN05_006280 flagellar motor stator protein MotA	606	1076	582
EKN05_006285	EKN05_006285	motility protein MotB	EKN05_006285 motility protein MotB	276	169	84
EKN05_006290	EKN05_006290	chemotaxis protein CheA	EKN05_006290 chemotaxis protein CheA	301	259	869
EKN05_006300	EKN05_006300	methyl-accepting chemotaxis protein II	EKN05_006300 methyl-accepting chemotaxis protein II	1048	550	349
EKN05_006305	EKN05_006305	methyl-accepting chemotaxis protein IV	EKN05_006305 methyl-accepting chemotaxis protein IV	1783	1105	882
EKN05_006315	EKN05_006315	chemotaxis response regulator protein-glutamate methylesterase	EKN05_006315 chemotaxis response regulator protein-glutamate methylesterase	1760	1183	956
EKN05_006320	EKN05_006320	two-component system response regulator	EKN05_006320 two-component system response regulator	14	45	82
EKN05_006325	EKN05_006325	protein phosphatase CheZ	EKN05_006325 protein phosphatase CheZ	833	937	169
EKN05_006330	EKN05_006330	hypothetical protein	EKN05_006330 hypothetical protein	222	112	192
EKN05_006360	EKN05_006360	flagellar type III secretion system protein FlhB	EKN05_006360 flagellar type III secretion system protein FlhB	113	238	21
EKN05_006365	EKN05_006365	flagellar biosynthesis protein FlhA	EKN05_006365 flagellar biosynthesis protein FlhA	461	324	288
EKN05_006370	EKN05_006370	flagellar protein FlhE	EKN05_006370 flagellar protein FlhE	194	196	180
EKN05_006405	EKN05_006405	cytochrome C	EKN05_006405 cytochrome C	514	560	566
EKN05_006410	EKN05_006410	twin-arginine translocation signal domain-containing protein	EKN05_006410 twin-arginine translocation signal domain-containing protein	879	798	641
EKN05_006420	EKN05_006420	trimethylamine-N-oxide reductase TorA	EKN05_006420 trimethylamine-N-oxide reductase TorA	496	874	1823
EKN05_006425	EKN05_006425	tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB	EKN05_006425 tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB	141	115	156
EKN05_006430	EKN05_006430	carboxy-S-adenosyl-L-methionine synthase CmoA	EKN05_006430 carboxy-S-adenosyl-L-methionine synthase CmoA	7	17	32
EKN05_006440	EKN05_006440	DUF72 domain-containing protein	EKN05_006440 DUF72 domain-containing protein	2377	1497	759
EKN05_006445	EKN05_006445	hypothetical protein	EKN05_006445 hypothetical protein	2	62	39
EKN05_006480	EKN05_006480	transposase	EKN05_006480 transposase	89	36	157
EKN05_006490	EKN05_006490	phage tail tape measure protein	EKN05_006490 phage tail tape measure protein	536	313	7
EKN05_006495	EKN05_006495	hypothetical protein	EKN05_006495 hypothetical protein	88	132	29
EKN05_006555	EKN05_006555	phage tail protein	EKN05_006555 phage tail protein	2385	2655	5687
EKN05_006560	EKN05_006560	phage tail protein	EKN05_006560 phage tail protein	218	118	26
EKN05_006630	EKN05_006630	E3 ubiquitin--protein ligase	EKN05_006630 E3 ubiquitin--protein ligase	246	109	35
EKN05_006645	EKN05_006645	hydrolase	EKN05_006645 hydrolase	3	98	40
EKN05_006670	EKN05_006670	YebC/PmpR family DNA-binding transcriptional regulator	EKN05_006670 YebC/PmpR family DNA-binding transcriptional regulator	3633	2918	2170
EKN05_006700	EKN05_006700	zinc ABC transporter permease subunit ZnuB	EKN05_006700 zinc ABC transporter permease subunit ZnuB	174	82	91
EKN05_006720	EKN05_006720	lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase	EKN05_006720 lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase	56	183	52
EKN05_006725	EKN05_006725	pyruvate kinase	EKN05_006725 pyruvate kinase	464	272	228
EKN05_006730	EKN05_006730	MurR/RpiR family transcriptional regulator	EKN05_006730 MurR/RpiR family transcriptional regulator	666	546	760
EKN05_006775	EKN05_006775	exodeoxyribonuclease X	EKN05_006775 exodeoxyribonuclease X	128	283	245
EKN05_006780	EKN05_006780	carbon-nitrogen hydrolase family protein	EKN05_006780 carbon-nitrogen hydrolase family protein	7	166	427
EKN05_006795	EKN05_006795	copper homeostasis membrane protein CopD	EKN05_006795 copper homeostasis membrane protein CopD	97	167	63
EKN05_006800	EKN05_006800	DUF2511 domain-containing protein	EKN05_006800 DUF2511 domain-containing protein	83	408	589
EKN05_006805	EKN05_006805	integrase	EKN05_006805 integrase	447	625	1002
EKN05_006865	EKN05_006865	low conductance mechanosensitive channel YnaI	EKN05_006865 low conductance mechanosensitive channel YnaI	2	0	1
EKN05_006890	EKN05_006890	DUF2534 family protein	EKN05_006890 DUF2534 family protein	588	611	721
EKN05_006895	EKN05_006895	universal stress protein UspE	EKN05_006895 universal stress protein UspE	356	273	1
EKN05_006910	EKN05_006910	hypothetical protein	EKN05_006910 hypothetical protein	832	704	26
EKN05_006915	EKN05_006915	AraC family transcriptional regulator	EKN05_006915 AraC family transcriptional regulator	1039	365	124
EKN05_006960	EKN05_006960	ATP-dependent RNA helicase DbpA	EKN05_006960 ATP-dependent RNA helicase DbpA	279	234	518
EKN05_006965	EKN05_006965	tRNA 2-thiocytidine(32) synthetase TtcA	EKN05_006965 tRNA 2-thiocytidine(32) synthetase TtcA	39	64	156
EKN05_006970	EKN05_006970	universal stress protein UspF	EKN05_006970 universal stress protein UspF	268	292	28
EKN05_006975	EKN05_006975	porin OmpN	EKN05_006975 porin OmpN	223	634	203
EKN05_006980	EKN05_006980	pyruvate:ferredoxin (flavodoxin) oxidoreductase	EKN05_006980 pyruvate:ferredoxin (flavodoxin) oxidoreductase	620	416	628
EKN05_006995	EKN05_006995	helix-turn-helix domain-containing protein	EKN05_006995 helix-turn-helix domain-containing protein	563	607	257
EKN05_007005	EKN05_007005	YnbE family lipoprotein	EKN05_007005 YnbE family lipoprotein	893	686	483
EKN05_007010	EKN05_007010	YdbH family protein	EKN05_007010 YdbH family protein	465	575	798
EKN05_007015	EKN05_007015	D-lactate dehydrogenase	EKN05_007015 D-lactate dehydrogenase	478	766	441
EKN05_007020	EKN05_007020	heat shock protein HslJ	EKN05_007020 heat shock protein HslJ	783	463	340
EKN05_007045	EKN05_007045	alpha/beta fold hydrolase	EKN05_007045 alpha/beta fold hydrolase	146	167	58
EKN05_007050	EKN05_007050	inositol phosphorylceramide synthase	EKN05_007050 inositol phosphorylceramide synthase	146	401	245
EKN05_007060	EKN05_007060	hypothetical protein	EKN05_007060 hypothetical protein	559	672	164
EKN05_007070	EKN05_007070	ATP-dependent RNA helicase HrpA	EKN05_007070 ATP-dependent RNA helicase HrpA	4567	3757	2264
EKN05_007075	EKN05_007075	aspartate oxidase	EKN05_007075 aspartate oxidase	24	173	107
EKN05_007085	EKN05_007085	YdcF family protein	EKN05_007085 YdcF family protein	287	105	65
EKN05_007095	EKN05_007095	aldehyde dehydrogenase	EKN05_007095 aldehyde dehydrogenase	14639	9974	3328
EKN05_007105	EKN05_007105	cytochrome b561	EKN05_007105 cytochrome b561	244	558	618
EKN05_007145	EKN05_007145	methyl-accepting chemotaxis protein Trg	EKN05_007145 methyl-accepting chemotaxis protein Trg	323	162	209
EKN05_007150	EKN05_007150	LysR family transcriptional regulator	EKN05_007150 LysR family transcriptional regulator	5	283	57
EKN05_007160	EKN05_007160	glucan biosynthesis protein D	EKN05_007160 glucan biosynthesis protein D	333	109	90
EKN05_007170	EKN05_007170	50S ribosomal protein L7/L12-serine acetyltransferase	EKN05_007170 50S ribosomal protein L7/L12-serine acetyltransferase	336	91	113
EKN05_007190	EKN05_007190	DUF3313 domain-containing protein	EKN05_007190 DUF3313 domain-containing protein	828	705	360
EKN05_007230	EKN05_007230	CatB-related O-acetyltransferase	EKN05_007230 CatB-related O-acetyltransferase	157	53	49
EKN05_007245	EKN05_007245	DUF2526 domain-containing protein	EKN05_007245 DUF2526 domain-containing protein	41	47	80
EKN05_007250	EKN05_007250	DMT family transporter	EKN05_007250 DMT family transporter	171	133	38
EKN05_007255	EKN05_007255	L-methionine sulfoximine/L-methionine sulfone acetyltransferase	EKN05_007255 L-methionine sulfoximine/L-methionine sulfone acetyltransferase	367	209	89
EKN05_007275	EKN05_007275	GntR family transcriptional regulator	EKN05_007275 GntR family transcriptional regulator	51	201	115
EKN05_007290	EKN05_007290	nitrate reductase subunit beta	EKN05_007290 nitrate reductase subunit beta	5	164	15
EKN05_007295	EKN05_007295	nitrate reductase subunit alpha	EKN05_007295 nitrate reductase subunit alpha	7531	7219	3032
EKN05_007300	EKN05_007300	NarK family nitrate/nitrite MFS transporter	EKN05_007300 NarK family nitrate/nitrite MFS transporter	735	530	1547
EKN05_007310	EKN05_007310	leucine-rich repeat domain-containing protein	EKN05_007310 leucine-rich repeat domain-containing protein	3	68	10
EKN05_007325	EKN05_007325	porin OmpC	EKN05_007325 porin OmpC	338	273	323
EKN05_007330	EKN05_007330	aromatic amino acid exporter YddG	EKN05_007330 aromatic amino acid exporter YddG	170	198	301
EKN05_007340	EKN05_007340	formate dehydrogenase-N subunit alpha	EKN05_007340 formate dehydrogenase-N subunit alpha	3905	3189	2239
EKN05_007345	EKN05_007345	formate dehydrogenase subunit beta	EKN05_007345 formate dehydrogenase subunit beta	220	109	284
EKN05_007350	EKN05_007350	formate dehydrogenase-N subunit gamma	EKN05_007350 formate dehydrogenase-N subunit gamma	118	122	122
EKN05_007355	EKN05_007355	addiction module antidote protein, HigA family	EKN05_007355 addiction module antidote protein, HigA family	666	806	875
EKN05_007360	EKN05_007360	alcohol dehydrogenase AdhP	EKN05_007360 alcohol dehydrogenase AdhP	230	224	118
EKN05_007365	EKN05_007365	NAD-dependent malic enzyme	EKN05_007365 NAD-dependent malic enzyme	244	115	80
EKN05_007390	EKN05_007390	D,D-dipeptide ABC transporter permease	EKN05_007390 D,D-dipeptide ABC transporter permease	2700	1788	2753
EKN05_007395	EKN05_007395	D-alanyl-D-alanine dipeptidase	EKN05_007395 D-alanyl-D-alanine dipeptidase	557	451	177
EKN05_007400	EKN05_007400	EAL domain-containing protein	EKN05_007400 EAL domain-containing protein	503	450	341
EKN05_007405	EKN05_007405	diguanylate cyclase	EKN05_007405 diguanylate cyclase	993	1270	315
EKN05_007415	EKN05_007415	glutamate:gamma-aminobutyrate antiporter	EKN05_007415 glutamate:gamma-aminobutyrate antiporter	480	232	192
EKN05_007430	EKN05_007430	insulinase family protein	EKN05_007430 insulinase family protein	96	461	77
EKN05_007440	EKN05_007440	insulinase family protein	EKN05_007440 insulinase family protein	953	741	327
EKN05_007445	EKN05_007445	TonB-dependent receptor	EKN05_007445 TonB-dependent receptor	2849	1661	629
EKN05_007450	EKN05_007450	ATP-binding cassette domain-containing protein	EKN05_007450 ATP-binding cassette domain-containing protein	528	590	186
EKN05_007465	EKN05_007465	ABC transporter ATP-binding protein/permease	EKN05_007465 ABC transporter ATP-binding protein/permease	737	201	327
EKN05_007470	EKN05_007470	hypothetical protein	EKN05_007470 hypothetical protein	3174	2848	804
EKN05_007480	EKN05_007480	anaerobic sulfatase maturase	EKN05_007480 anaerobic sulfatase maturase	212	403	830
EKN05_007485	EKN05_007485	sulfatase	EKN05_007485 sulfatase	32	176	160
EKN05_007500	EKN05_007500	quinate/shikimate dehydrogenase	EKN05_007500 quinate/shikimate dehydrogenase	104	175	9
EKN05_007515	EKN05_007515	MFS transporter	EKN05_007515 MFS transporter	2262	2698	2297
EKN05_007530	EKN05_007530	MFS transporter	EKN05_007530 MFS transporter	1221	985	419
EKN05_007550	EKN05_007550	FAD-binding oxidoreductase	EKN05_007550 FAD-binding oxidoreductase	364	74	323
EKN05_007555	EKN05_007555	1,4-dihydroxy-2-naphthoyl-CoA hydrolase	EKN05_007555 1,4-dihydroxy-2-naphthoyl-CoA hydrolase	2980	1657	548
EKN05_007565	EKN05_007565	Fe-S cluster assembly scaffold SufA	EKN05_007565 Fe-S cluster assembly scaffold SufA	668	323	215
EKN05_007570	EKN05_007570	Fe-S cluster assembly protein SufB	EKN05_007570 Fe-S cluster assembly protein SufB	2966	2711	2231
EKN05_007575	EKN05_007575	Fe-S cluster assembly ATPase SufC	EKN05_007575 Fe-S cluster assembly ATPase SufC	622	580	787
EKN05_007580	EKN05_007580	Fe-S cluster assembly protein SufD	EKN05_007580 Fe-S cluster assembly protein SufD	2330	1398	1164
EKN05_007585	EKN05_007585	cysteine desulfurase SufS	EKN05_007585 cysteine desulfurase SufS	447	606	555
EKN05_007595	EKN05_007595	L,D-transpeptidase LdtE	EKN05_007595 L,D-transpeptidase LdtE	102	104	115
