locusId	sysName	desc	comb
EKN05_005305	EKN05_005305	colanic acid biosynthesis glycosyltransferase WcaE	EKN05_005305 colanic acid biosynthesis glycosyltransferase WcaE
EKN05_005315	EKN05_005315	colanic acid biosynthesis glycosyl transferase	EKN05_005315 colanic acid biosynthesis glycosyl transferase
EKN05_005320	EKN05_005320	colanic acid biosynthesis acetyltransferase WcaF	EKN05_005320 colanic acid biosynthesis acetyltransferase WcaF
EKN05_005325	EKN05_005325	GDP-mannose 4,6-dehydratase	EKN05_005325 GDP-mannose 4,6-dehydratase
EKN05_005330	EKN05_005330	GDP-L-fucose synthase	EKN05_005330 GDP-L-fucose synthase
EKN05_005340	EKN05_005340	colanic acid biosynthesis glycosyltransferase WcaI	EKN05_005340 colanic acid biosynthesis glycosyltransferase WcaI
EKN05_005345	EKN05_005345	mannose-1-phosphate guanyltransferase	EKN05_005345 mannose-1-phosphate guanyltransferase
EKN05_005350	EKN05_005350	phosphomannomutase CpsG	EKN05_005350 phosphomannomutase CpsG
EKN05_005355	EKN05_005355	undecaprenyl-phosphate glucose phosphotransferase	EKN05_005355 undecaprenyl-phosphate glucose phosphotransferase
EKN05_005360	EKN05_005360	M-antigen undecaprenyl disphosphate flippase	EKN05_005360 M-antigen undecaprenyl disphosphate flippase
EKN05_005365	EKN05_005365	colanic acid biosynthesis pyruvyl transferase WcaK	EKN05_005365 colanic acid biosynthesis pyruvyl transferase WcaK
EKN05_005370	EKN05_005370	colanic acid biosynthesis glycosyltransferase WcaL	EKN05_005370 colanic acid biosynthesis glycosyltransferase WcaL
EKN05_005375	EKN05_005375	colanic acid biosynthesis protein WcaM	EKN05_005375 colanic acid biosynthesis protein WcaM
EKN05_005380	EKN05_005380	UTP--glucose-1-phosphate uridylyltransferase GalF	EKN05_005380 UTP--glucose-1-phosphate uridylyltransferase GalF
EKN05_005385	EKN05_005385	dTDP-glucose 4,6-dehydratase	EKN05_005385 dTDP-glucose 4,6-dehydratase
EKN05_005445	EKN05_005445	hypothetical protein	EKN05_005445 hypothetical protein
EKN05_005450	EKN05_005450	NADP-dependent phosphogluconate dehydrogenase	EKN05_005450 NADP-dependent phosphogluconate dehydrogenase
EKN05_005455	EKN05_005455	UDP-glucose 6-dehydrogenase	EKN05_005455 UDP-glucose 6-dehydrogenase
EKN05_005460	EKN05_005460	LPS O-antigen chain length determinant protein WzzB	EKN05_005460 LPS O-antigen chain length determinant protein WzzB
EKN05_005475	EKN05_005475	1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase	EKN05_005475 1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase
EKN05_005480	EKN05_005480	imidazole glycerol phosphate synthase subunit HisH	EKN05_005480 imidazole glycerol phosphate synthase subunit HisH
EKN05_005485	EKN05_005485	bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB	EKN05_005485 bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB
EKN05_005490	EKN05_005490	histidinol-phosphate transaminase	EKN05_005490 histidinol-phosphate transaminase
EKN05_005500	EKN05_005500	ATP phosphoribosyltransferase	EKN05_005500 ATP phosphoribosyltransferase
EKN05_005530	EKN05_005530	SDR family oxidoreductase	EKN05_005530 SDR family oxidoreductase
EKN05_005535	EKN05_005535	LysR family transcriptional regulator	EKN05_005535 LysR family transcriptional regulator
EKN05_005545	EKN05_005545	putrescine/proton symporter PlaP	EKN05_005545 putrescine/proton symporter PlaP
EKN05_005550	EKN05_005550	YeeE/YedE family protein	EKN05_005550 YeeE/YedE family protein
EKN05_005555	EKN05_005555	hypothetical protein	EKN05_005555 hypothetical protein
EKN05_005560	EKN05_005560	exodeoxyribonuclease I	EKN05_005560 exodeoxyribonuclease I
EKN05_005565	EKN05_005565	DUF4102 domain-containing protein	EKN05_005565 DUF4102 domain-containing protein
EKN05_005580	EKN05_005580	hypothetical protein	EKN05_005580 hypothetical protein
EKN05_005595	EKN05_005595	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase	EKN05_005595 bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase
EKN05_005600	EKN05_005600	adenosylcobinamide-GDP ribazoletransferase	EKN05_005600 adenosylcobinamide-GDP ribazoletransferase
EKN05_005605	EKN05_005605	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	EKN05_005605 nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
EKN05_005610	EKN05_005610	L,D-transpeptidase	EKN05_005610 L,D-transpeptidase
EKN05_005620	EKN05_005620	nitrogen assimilation transcriptional regulator	EKN05_005620 nitrogen assimilation transcriptional regulator
EKN05_005625	EKN05_005625	HTH-type transcriptional regulator Cbl	EKN05_005625 HTH-type transcriptional regulator Cbl
EKN05_005635	EKN05_005635	toxic metabolite efflux MATE transporter YeeO	EKN05_005635 toxic metabolite efflux MATE transporter YeeO
EKN05_005640	EKN05_005640	tRNA-Asn	EKN05_005640 tRNA-Asn
EKN05_005650	EKN05_005650	AMP nucleosidase	EKN05_005650 AMP nucleosidase
EKN05_005655	EKN05_005655	hypothetical protein	EKN05_005655 hypothetical protein
EKN05_005665	EKN05_005665	serine transporter	EKN05_005665 serine transporter
EKN05_005675	EKN05_005675	DUF4102 domain-containing protein	EKN05_005675 DUF4102 domain-containing protein
EKN05_005695	EKN05_005695	integrase	EKN05_005695 integrase
EKN05_005700	EKN05_005700	DUF4224 domain-containing protein	EKN05_005700 DUF4224 domain-containing protein
EKN05_005710	EKN05_005710	3'-5' exoribonuclease	EKN05_005710 3'-5' exoribonuclease
EKN05_005720	EKN05_005720	hypothetical protein	EKN05_005720 hypothetical protein
EKN05_005725	EKN05_005725	hypothetical protein	EKN05_005725 hypothetical protein
EKN05_005730	EKN05_005730	hypothetical protein	EKN05_005730 hypothetical protein
EKN05_005755	EKN05_005755	RusA family crossover junction endodeoxyribonuclease	EKN05_005755 RusA family crossover junction endodeoxyribonuclease
EKN05_005760	EKN05_005760	antiterminator	EKN05_005760 antiterminator
EKN05_005840	EKN05_005840	metal-binding protein ZinT	EKN05_005840 metal-binding protein ZinT
EKN05_005845	EKN05_005845	protein-methionine-sulfoxide reductase heme-binding subunit MsrQ	EKN05_005845 protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
EKN05_005850	EKN05_005850	protein-methionine-sulfoxide reductase catalytic subunit MsrP	EKN05_005850 protein-methionine-sulfoxide reductase catalytic subunit MsrP
EKN05_005860	EKN05_005860	DNA-binding response regulator HprR	EKN05_005860 DNA-binding response regulator HprR
EKN05_005870	EKN05_005870	protein deglycase HchA	EKN05_005870 protein deglycase HchA
EKN05_005880	EKN05_005880	hypothetical protein	EKN05_005880 hypothetical protein
EKN05_005890	EKN05_005890	hypothetical protein	EKN05_005890 hypothetical protein
EKN05_005900	EKN05_005900	hypothetical protein	EKN05_005900 hypothetical protein
EKN05_005905	EKN05_005905	phosphohydrolase	EKN05_005905 phosphohydrolase
EKN05_005910	EKN05_005910	DNA cytosine methyltransferase	EKN05_005910 DNA cytosine methyltransferase
EKN05_005915	EKN05_005915	very short patch repair endonuclease	EKN05_005915 very short patch repair endonuclease
EKN05_005920	EKN05_005920	drug/metabolite exporter YedA	EKN05_005920 drug/metabolite exporter YedA
EKN05_005925	EKN05_005925	DUF808 domain-containing protein	EKN05_005925 DUF808 domain-containing protein
EKN05_005935	EKN05_005935	cellulose biosynthesis regulator YedQ	EKN05_005935 cellulose biosynthesis regulator YedQ
EKN05_005940	EKN05_005940	mannosyl-3-phosphoglycerate phosphatase-related protein	EKN05_005940 mannosyl-3-phosphoglycerate phosphatase-related protein
EKN05_005950	EKN05_005950	hypothetical protein	EKN05_005950 hypothetical protein
EKN05_005960	EKN05_005960	transcriptional regulator RcsA	EKN05_005960 transcriptional regulator RcsA
EKN05_005990	EKN05_005990	flagellar motor switch protein FliM	EKN05_005990 flagellar motor switch protein FliM
EKN05_006120	EKN05_006120	FliC/FljB family flagellin	EKN05_006120 FliC/FljB family flagellin
EKN05_006125	EKN05_006125	RNA polymerase sigma factor FliA	EKN05_006125 RNA polymerase sigma factor FliA
EKN05_006130	EKN05_006130	flagella biosynthesis regulatory protein FliZ	EKN05_006130 flagella biosynthesis regulatory protein FliZ
EKN05_006135	EKN05_006135	cystine ABC transporter substrate-binding protein	EKN05_006135 cystine ABC transporter substrate-binding protein
EKN05_006140	EKN05_006140	D-cysteine desulfhydrase	EKN05_006140 D-cysteine desulfhydrase
EKN05_006145	EKN05_006145	amino acid ABC transporter permease	EKN05_006145 amino acid ABC transporter permease
EKN05_006150	EKN05_006150	L-cystine ABC transporter ATP-binding protein YecC	EKN05_006150 L-cystine ABC transporter ATP-binding protein YecC
EKN05_006155	EKN05_006155	transcriptional regulator SdiA	EKN05_006155 transcriptional regulator SdiA
EKN05_006165	EKN05_006165	hypothetical protein	EKN05_006165 hypothetical protein
EKN05_006170	EKN05_006170	two-component system response regulator UvrY	EKN05_006170 two-component system response regulator UvrY
EKN05_006175	EKN05_006175	excinuclease ABC subunit UvrC	EKN05_006175 excinuclease ABC subunit UvrC
EKN05_006200	EKN05_006200	UPF0149 family protein YecA	EKN05_006200 UPF0149 family protein YecA
EKN05_006205	EKN05_006205	tyrosine transporter TyrP	EKN05_006205 tyrosine transporter TyrP
EKN05_006230	EKN05_006230	DUF2766 domain-containing protein	EKN05_006230 DUF2766 domain-containing protein
EKN05_006240	EKN05_006240	arabinose ABC transporter substrate-binding protein	EKN05_006240 arabinose ABC transporter substrate-binding protein
EKN05_006245	EKN05_006245	L-arabinose ABC transporter ATP-binding protein AraG	EKN05_006245 L-arabinose ABC transporter ATP-binding protein AraG
EKN05_006250	EKN05_006250	arabinose ABC transporter permease	EKN05_006250 arabinose ABC transporter permease
EKN05_006255	EKN05_006255	trehalose-phosphatase	EKN05_006255 trehalose-phosphatase
EKN05_006260	EKN05_006260	alpha,alpha-trehalose-phosphate synthase	EKN05_006260 alpha,alpha-trehalose-phosphate synthase
EKN05_006280	EKN05_006280	flagellar motor stator protein MotA	EKN05_006280 flagellar motor stator protein MotA
EKN05_006285	EKN05_006285	motility protein MotB	EKN05_006285 motility protein MotB
EKN05_006290	EKN05_006290	chemotaxis protein CheA	EKN05_006290 chemotaxis protein CheA
EKN05_006300	EKN05_006300	methyl-accepting chemotaxis protein II	EKN05_006300 methyl-accepting chemotaxis protein II
EKN05_006305	EKN05_006305	methyl-accepting chemotaxis protein IV	EKN05_006305 methyl-accepting chemotaxis protein IV
EKN05_006315	EKN05_006315	chemotaxis response regulator protein-glutamate methylesterase	EKN05_006315 chemotaxis response regulator protein-glutamate methylesterase
EKN05_006320	EKN05_006320	two-component system response regulator	EKN05_006320 two-component system response regulator
EKN05_006325	EKN05_006325	protein phosphatase CheZ	EKN05_006325 protein phosphatase CheZ
EKN05_006330	EKN05_006330	hypothetical protein	EKN05_006330 hypothetical protein
EKN05_006360	EKN05_006360	flagellar type III secretion system protein FlhB	EKN05_006360 flagellar type III secretion system protein FlhB
EKN05_006365	EKN05_006365	flagellar biosynthesis protein FlhA	EKN05_006365 flagellar biosynthesis protein FlhA
EKN05_006370	EKN05_006370	flagellar protein FlhE	EKN05_006370 flagellar protein FlhE
EKN05_006405	EKN05_006405	cytochrome C	EKN05_006405 cytochrome C
EKN05_006410	EKN05_006410	twin-arginine translocation signal domain-containing protein	EKN05_006410 twin-arginine translocation signal domain-containing protein
EKN05_006420	EKN05_006420	trimethylamine-N-oxide reductase TorA	EKN05_006420 trimethylamine-N-oxide reductase TorA
EKN05_006425	EKN05_006425	tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB	EKN05_006425 tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB
EKN05_006430	EKN05_006430	carboxy-S-adenosyl-L-methionine synthase CmoA	EKN05_006430 carboxy-S-adenosyl-L-methionine synthase CmoA
EKN05_006440	EKN05_006440	DUF72 domain-containing protein	EKN05_006440 DUF72 domain-containing protein
EKN05_006445	EKN05_006445	hypothetical protein	EKN05_006445 hypothetical protein
EKN05_006480	EKN05_006480	transposase	EKN05_006480 transposase
EKN05_006490	EKN05_006490	phage tail tape measure protein	EKN05_006490 phage tail tape measure protein
EKN05_006495	EKN05_006495	hypothetical protein	EKN05_006495 hypothetical protein
EKN05_006555	EKN05_006555	phage tail protein	EKN05_006555 phage tail protein
EKN05_006560	EKN05_006560	phage tail protein	EKN05_006560 phage tail protein
EKN05_006630	EKN05_006630	E3 ubiquitin--protein ligase	EKN05_006630 E3 ubiquitin--protein ligase
EKN05_006645	EKN05_006645	hydrolase	EKN05_006645 hydrolase
EKN05_006670	EKN05_006670	YebC/PmpR family DNA-binding transcriptional regulator	EKN05_006670 YebC/PmpR family DNA-binding transcriptional regulator
EKN05_006700	EKN05_006700	zinc ABC transporter permease subunit ZnuB	EKN05_006700 zinc ABC transporter permease subunit ZnuB
EKN05_006720	EKN05_006720	lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase	EKN05_006720 lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase
EKN05_006725	EKN05_006725	pyruvate kinase	EKN05_006725 pyruvate kinase
EKN05_006730	EKN05_006730	MurR/RpiR family transcriptional regulator	EKN05_006730 MurR/RpiR family transcriptional regulator
EKN05_006775	EKN05_006775	exodeoxyribonuclease X	EKN05_006775 exodeoxyribonuclease X
EKN05_006780	EKN05_006780	carbon-nitrogen hydrolase family protein	EKN05_006780 carbon-nitrogen hydrolase family protein
EKN05_006795	EKN05_006795	copper homeostasis membrane protein CopD	EKN05_006795 copper homeostasis membrane protein CopD
EKN05_006800	EKN05_006800	DUF2511 domain-containing protein	EKN05_006800 DUF2511 domain-containing protein
EKN05_006805	EKN05_006805	integrase	EKN05_006805 integrase
EKN05_006865	EKN05_006865	low conductance mechanosensitive channel YnaI	EKN05_006865 low conductance mechanosensitive channel YnaI
EKN05_006890	EKN05_006890	DUF2534 family protein	EKN05_006890 DUF2534 family protein
EKN05_006895	EKN05_006895	universal stress protein UspE	EKN05_006895 universal stress protein UspE
EKN05_006910	EKN05_006910	hypothetical protein	EKN05_006910 hypothetical protein
EKN05_006915	EKN05_006915	AraC family transcriptional regulator	EKN05_006915 AraC family transcriptional regulator
EKN05_006960	EKN05_006960	ATP-dependent RNA helicase DbpA	EKN05_006960 ATP-dependent RNA helicase DbpA
EKN05_006965	EKN05_006965	tRNA 2-thiocytidine(32) synthetase TtcA	EKN05_006965 tRNA 2-thiocytidine(32) synthetase TtcA
EKN05_006970	EKN05_006970	universal stress protein UspF	EKN05_006970 universal stress protein UspF
EKN05_006975	EKN05_006975	porin OmpN	EKN05_006975 porin OmpN
EKN05_006980	EKN05_006980	pyruvate:ferredoxin (flavodoxin) oxidoreductase	EKN05_006980 pyruvate:ferredoxin (flavodoxin) oxidoreductase
EKN05_006995	EKN05_006995	helix-turn-helix domain-containing protein	EKN05_006995 helix-turn-helix domain-containing protein
EKN05_007005	EKN05_007005	YnbE family lipoprotein	EKN05_007005 YnbE family lipoprotein
EKN05_007010	EKN05_007010	YdbH family protein	EKN05_007010 YdbH family protein
EKN05_007015	EKN05_007015	D-lactate dehydrogenase	EKN05_007015 D-lactate dehydrogenase
EKN05_007020	EKN05_007020	heat shock protein HslJ	EKN05_007020 heat shock protein HslJ
EKN05_007045	EKN05_007045	alpha/beta fold hydrolase	EKN05_007045 alpha/beta fold hydrolase
EKN05_007050	EKN05_007050	inositol phosphorylceramide synthase	EKN05_007050 inositol phosphorylceramide synthase
EKN05_007060	EKN05_007060	hypothetical protein	EKN05_007060 hypothetical protein
EKN05_007070	EKN05_007070	ATP-dependent RNA helicase HrpA	EKN05_007070 ATP-dependent RNA helicase HrpA
EKN05_007075	EKN05_007075	aspartate oxidase	EKN05_007075 aspartate oxidase
EKN05_007085	EKN05_007085	YdcF family protein	EKN05_007085 YdcF family protein
EKN05_007095	EKN05_007095	aldehyde dehydrogenase	EKN05_007095 aldehyde dehydrogenase
EKN05_007105	EKN05_007105	cytochrome b561	EKN05_007105 cytochrome b561
EKN05_007145	EKN05_007145	methyl-accepting chemotaxis protein Trg	EKN05_007145 methyl-accepting chemotaxis protein Trg
EKN05_007150	EKN05_007150	LysR family transcriptional regulator	EKN05_007150 LysR family transcriptional regulator
EKN05_007160	EKN05_007160	glucan biosynthesis protein D	EKN05_007160 glucan biosynthesis protein D
EKN05_007170	EKN05_007170	50S ribosomal protein L7/L12-serine acetyltransferase	EKN05_007170 50S ribosomal protein L7/L12-serine acetyltransferase
EKN05_007190	EKN05_007190	DUF3313 domain-containing protein	EKN05_007190 DUF3313 domain-containing protein
EKN05_007230	EKN05_007230	CatB-related O-acetyltransferase	EKN05_007230 CatB-related O-acetyltransferase
EKN05_007245	EKN05_007245	DUF2526 domain-containing protein	EKN05_007245 DUF2526 domain-containing protein
EKN05_007250	EKN05_007250	DMT family transporter	EKN05_007250 DMT family transporter
EKN05_007255	EKN05_007255	L-methionine sulfoximine/L-methionine sulfone acetyltransferase	EKN05_007255 L-methionine sulfoximine/L-methionine sulfone acetyltransferase
EKN05_007275	EKN05_007275	GntR family transcriptional regulator	EKN05_007275 GntR family transcriptional regulator
EKN05_007290	EKN05_007290	nitrate reductase subunit beta	EKN05_007290 nitrate reductase subunit beta
EKN05_007295	EKN05_007295	nitrate reductase subunit alpha	EKN05_007295 nitrate reductase subunit alpha
EKN05_007300	EKN05_007300	NarK family nitrate/nitrite MFS transporter	EKN05_007300 NarK family nitrate/nitrite MFS transporter
EKN05_007310	EKN05_007310	leucine-rich repeat domain-containing protein	EKN05_007310 leucine-rich repeat domain-containing protein
EKN05_007325	EKN05_007325	porin OmpC	EKN05_007325 porin OmpC
EKN05_007330	EKN05_007330	aromatic amino acid exporter YddG	EKN05_007330 aromatic amino acid exporter YddG
EKN05_007340	EKN05_007340	formate dehydrogenase-N subunit alpha	EKN05_007340 formate dehydrogenase-N subunit alpha
EKN05_007345	EKN05_007345	formate dehydrogenase subunit beta	EKN05_007345 formate dehydrogenase subunit beta
EKN05_007350	EKN05_007350	formate dehydrogenase-N subunit gamma	EKN05_007350 formate dehydrogenase-N subunit gamma
EKN05_007355	EKN05_007355	addiction module antidote protein, HigA family	EKN05_007355 addiction module antidote protein, HigA family
EKN05_007360	EKN05_007360	alcohol dehydrogenase AdhP	EKN05_007360 alcohol dehydrogenase AdhP
EKN05_007365	EKN05_007365	NAD-dependent malic enzyme	EKN05_007365 NAD-dependent malic enzyme
EKN05_007390	EKN05_007390	D,D-dipeptide ABC transporter permease	EKN05_007390 D,D-dipeptide ABC transporter permease
EKN05_007395	EKN05_007395	D-alanyl-D-alanine dipeptidase	EKN05_007395 D-alanyl-D-alanine dipeptidase
EKN05_007400	EKN05_007400	EAL domain-containing protein	EKN05_007400 EAL domain-containing protein
EKN05_007405	EKN05_007405	diguanylate cyclase	EKN05_007405 diguanylate cyclase
EKN05_007415	EKN05_007415	glutamate:gamma-aminobutyrate antiporter	EKN05_007415 glutamate:gamma-aminobutyrate antiporter
EKN05_007430	EKN05_007430	insulinase family protein	EKN05_007430 insulinase family protein
EKN05_007440	EKN05_007440	insulinase family protein	EKN05_007440 insulinase family protein
EKN05_007445	EKN05_007445	TonB-dependent receptor	EKN05_007445 TonB-dependent receptor
EKN05_007450	EKN05_007450	ATP-binding cassette domain-containing protein	EKN05_007450 ATP-binding cassette domain-containing protein
EKN05_007465	EKN05_007465	ABC transporter ATP-binding protein/permease	EKN05_007465 ABC transporter ATP-binding protein/permease
EKN05_007470	EKN05_007470	hypothetical protein	EKN05_007470 hypothetical protein
EKN05_007480	EKN05_007480	anaerobic sulfatase maturase	EKN05_007480 anaerobic sulfatase maturase
EKN05_007485	EKN05_007485	sulfatase	EKN05_007485 sulfatase
EKN05_007500	EKN05_007500	quinate/shikimate dehydrogenase	EKN05_007500 quinate/shikimate dehydrogenase
EKN05_007515	EKN05_007515	MFS transporter	EKN05_007515 MFS transporter
EKN05_007530	EKN05_007530	MFS transporter	EKN05_007530 MFS transporter
EKN05_007550	EKN05_007550	FAD-binding oxidoreductase	EKN05_007550 FAD-binding oxidoreductase
EKN05_007555	EKN05_007555	1,4-dihydroxy-2-naphthoyl-CoA hydrolase	EKN05_007555 1,4-dihydroxy-2-naphthoyl-CoA hydrolase
EKN05_007565	EKN05_007565	Fe-S cluster assembly scaffold SufA	EKN05_007565 Fe-S cluster assembly scaffold SufA
EKN05_007570	EKN05_007570	Fe-S cluster assembly protein SufB	EKN05_007570 Fe-S cluster assembly protein SufB
EKN05_007575	EKN05_007575	Fe-S cluster assembly ATPase SufC	EKN05_007575 Fe-S cluster assembly ATPase SufC
EKN05_007580	EKN05_007580	Fe-S cluster assembly protein SufD	EKN05_007580 Fe-S cluster assembly protein SufD
EKN05_007585	EKN05_007585	cysteine desulfurase SufS	EKN05_007585 cysteine desulfurase SufS
EKN05_007595	EKN05_007595	L,D-transpeptidase LdtE	EKN05_007595 L,D-transpeptidase LdtE
EKN05_007615	EKN05_007615	fumarate hydratase FumD	EKN05_007615 fumarate hydratase FumD
EKN05_007620	EKN05_007620	ferredoxin-like protein	EKN05_007620 ferredoxin-like protein
EKN05_007625	EKN05_007625	aldehyde ferredoxin oxidoreductase	EKN05_007625 aldehyde ferredoxin oxidoreductase
EKN05_007630	EKN05_007630	YdhW family putative oxidoreductase system protein	EKN05_007630 YdhW family putative oxidoreductase system protein
EKN05_007640	EKN05_007640	thiosulfate reductase cytochrome B subunit	EKN05_007640 thiosulfate reductase cytochrome B subunit
EKN05_007645	EKN05_007645	hypothetical protein	EKN05_007645 hypothetical protein
EKN05_007650	EKN05_007650	FAD-NAD(P)-binding protein	EKN05_007650 FAD-NAD(P)-binding protein
EKN05_007670	EKN05_007670	hypothetical protein	EKN05_007670 hypothetical protein
EKN05_007675	EKN05_007675	multidrug efflux MATE transporter MdtK	EKN05_007675 multidrug efflux MATE transporter MdtK
EKN05_007685	EKN05_007685	cyclopropane fatty acyl phospholipid synthase	EKN05_007685 cyclopropane fatty acyl phospholipid synthase
EKN05_007690	EKN05_007690	Bcr/CflA family multidrug efflux MFS transporter	EKN05_007690 Bcr/CflA family multidrug efflux MFS transporter
EKN05_007695	EKN05_007695	LysR family transcriptional regulator	EKN05_007695 LysR family transcriptional regulator
EKN05_007700	EKN05_007700	HTH-type transcriptional repressor PurR	EKN05_007700 HTH-type transcriptional repressor PurR
EKN05_007705	EKN05_007705	stress response protein YnhF	EKN05_007705 stress response protein YnhF
EKN05_007710	EKN05_007710	MFS transporter	EKN05_007710 MFS transporter
EKN05_007715	EKN05_007715	superoxide dismutase [Fe]	EKN05_007715 superoxide dismutase [Fe]
EKN05_007720	EKN05_007720	endopeptidase	EKN05_007720 endopeptidase
EKN05_007725	EKN05_007725	Grx4 family monothiol glutaredoxin	EKN05_007725 Grx4 family monothiol glutaredoxin
EKN05_007740	EKN05_007740	ATP-dependent helicase	EKN05_007740 ATP-dependent helicase
EKN05_007755	EKN05_007755	N-ethylmaleimide reductase	EKN05_007755 N-ethylmaleimide reductase
EKN05_007760	EKN05_007760	TetR/AcrR family transcriptional regulator	EKN05_007760 TetR/AcrR family transcriptional regulator
EKN05_007770	EKN05_007770	aldo/keto reductase family oxidoreductase	EKN05_007770 aldo/keto reductase family oxidoreductase
EKN05_007780	EKN05_007780	FUSC family protein	EKN05_007780 FUSC family protein
EKN05_007875	EKN05_007875	electron transport complex subunit RsxC	EKN05_007875 electron transport complex subunit RsxC
EKN05_007880	EKN05_007880	electron transport complex subunit RsxB	EKN05_007880 electron transport complex subunit RsxB
EKN05_007905	EKN05_007905	oxidoreductase	EKN05_007905 oxidoreductase
EKN05_007910	EKN05_007910	adenosine deaminase	EKN05_007910 adenosine deaminase
EKN05_007915	EKN05_007915	bifunctional maltose regulon transcriptional repressor/cystathionine beta-lyase MalY	EKN05_007915 bifunctional maltose regulon transcriptional repressor/cystathionine beta-lyase MalY
EKN05_007920	EKN05_007920	PTS maltose transporter subunit IICB	EKN05_007920 PTS maltose transporter subunit IICB
